BAHASA TUNJUNG,TURUNAN KATA,BAHASA INDONESIA,BAHASA INGGRIS,JENIS KATA,KALIMAT BAHASA TUNJUNG,KALIMAT BAHASA INDONESIA,KALIMAT BAHASA INGGRIS ,DIALEK
alau,alau putiq,rambut putih,"gray hair, white hair",n,"soq pelgaq was saq joq, sampai kuhungk tenumunt alau putiq","sudah tua betul dia itu, sampai kepala di tumbuhi rambut putih","He is really old, his head has even grown white hair",
alau,,pegangan yang dibuat dari kayu,wooden handle,n,,,,
aleer,,pancing buaya; perangkap buaya; umpan buaya,crocodile trap,n,,,,
alih,,dulu,first,adv,Nipai alih edoq yaq toncekng tih!,Rekatkan dulu parang yang terlepas dari gagangnya ini!,glue the machete that has come loose from its handle first!,
alikng,,curian,steal,n,"kepai akui dang alikng ulunt neq, malikng ogeq kentalan akui!","capek aku sama orang yang curi ini, mencuri terus hasil sadapan karet aku!","I’m tired of the person who keeps stealing this, always taking the latex I’ve tapped!",
aloh,,arus air banjir,water flow,n,,,,
alookng,,ukir,carve,v,,,,
alui,,mendahului; menyalip,"pass, overtake",v,,,,
alui onceeq,,lambat laun,"gradually, slowly but sure",adv,alui onceeq tenogant agi,lambat laun ketahuan juga,"gradually, it will be discovered",
aluur,,sampan; perahu,boat,n,sidaq agi taii sengket aluur kelilikng iatn jawiq,coba kita naik perahu keliling sungai jawiq,let's try taking a boat around the Jawiq River,
aman,,kalau; jika,"if, in case",p,aman kahe ucatn kamin kaat ji umaq,"kalau tidak hujan, kami akan ke kebun","if it doesn't rain, we will go to the fields",
amaq,,depan ,in front of ,adv,calaq hajaq diq amaq dapeq,Jalan besar di depan rumah,Big road in front of the house,
amen,,jika,if,conj,,,,
amen,amen mejoq,jikalau,if,conj,,,,
ami,,gambir,gambier,n,ewah nyimpaaq ohai baq ami,"Ingin menyirih, namun tidak ada gambir","want to chew betel, but there’s no gambier",
amoq,,pemikul padi yang dibuat dari rotan; lanjung,paddy bearer made from rattan; a large basket carried on the back,n,ise nengaaq amoq anyatn nyuatn parai,baru membuat pemikul padi,Just made a rice bearer,
ampapm,,pantulan panas; cahaya,heat reflection,n,ampapm wenau ise haaq terasatn,pantulan panas matahari baru terasa,The reflection of the sun's heat is just being felt,
ampapm,beampaapm,bercahaya,"shining, glowing, radiant",a,,,,
amput,,ikut ,follow,v,kamiq kelpm no amput ngaweeng ganyiq.,Kami tadi malam ikut memanjat (ambil) madu).,Last night we climbed a tree to get some honey.,
amuh,,pekerjaan,"job, occupation",n,nyama haq amuh koi tempo tih?,apa pekerjaan kamu sekarang?,What is your job now?,
amun,,kalau,if,p,amun akui baah kaheeq bi megat taliq joq nyi,"Kalau aku, tidak akan memutuskan tali itu tadi","If it were me, I wouldn’t have cut that rope",
amuuq,,abu,ash/ashes,n,Lonya amuuq joq temakai atau kaheq?,"Bagaimana, apakah abu itu dipakai atau tidak?",Is the ash used or not?,
amuut,,buih tajin,the coagulated foam on top of rice,n,,,,
anak,,anak,"child, kid",n,adi kongaq anak koi,berapa orang anakmu,how many children do you have,
anak,anak boleq,anak babi,piglet,,akui ewah meli anak boleq,saya mau beli anak babi,I want to buy a piglet,
anak,anak encuuq,anak cucu,"descendants, offspring",n,tanaaq yaq baq tih non warisan eraq anak encuuq tai atih,tanah yang ada ini untuk warisan anak cucu kita nanti,This land is for our future offsprings to inherit,
anak,anak encuuq,anak cucu,"offsprings, children and grandchildren",n,tanaaq yaq baq tih non warisan eraq anak encuuq tai atih,tanah yang ada ini untuk warisan anak cucu kita nanti,This land is for our children and grandchildren to inherit,
anak,anak gemar,anak kembar,twins,n,anak gemar jo ehau main sepeda,anak kembar itu senang main sepeda,the twins love riding their bikes,
anak,anak manuk,anak ayam,chick,n,di dapeq eraq rafi dahanp anak manuk,di rumah mereka rafi banyak anak ayam,in their house there are lots of chicks,
anak,anak papat,anak tiri,stepchild,n,nitolis anak papat tuaaq ingan,nitolis anak tiri om ingan,nitolis stepdaughter of uncle Ingan,
anak,anak puhiiq,anak angkat,adopted child,n,saq tih anak puhiiq mur,dia ini anak angkat mur,he is Mur's adopted son,
anak,anak sapi,anak sapi,calf,n,akui ewah pelau anak sapi kamiq yaq tawaq,saya akan mencari anak sapi kami yang hilang,I will look for our lost calf,
anak,anak sengiing,anak kandung,"biological child, own child",n,saq jo anak akui sengiing,dia itu anak kandung saya,he is my biological child,
anak,anak waweeq,anak perempuan,"daughter, girl ",n,anak waweeq akui aneh guru olah raga,anak  perempuan saya itu guru olah raga,my daughter is a gym teacher,
anak,anak langat,uir-uir,uir-uir,,genoh anak langat tih ngaq nenekng perah,suara uir-uir buat sakit telinga,the sound of the uir-uir hurts the ears,
anak,anak lihaq,anak laki-laki,boy,n,anak lihaq akui uge kuliah,anak laki laki saya masih kuliah,my son is still in college,
anau,,palem hutan,palm tree,n,pore lebii akui kiteq anau dilapm talutn,bagus sekali aku melihat palem didalam hutan,it's great that I see palm trees in the forest,
ancaak,,tempat sesajen,offerings,n,yanto lagiq nengaq ancaak non pakatn abatn kelelungatn mpoon pelgatn yaq soq mateeq,Yanto sedang mempersiapkan tempat sesajian untuk memberi makan roh-roh leluhur yang telah meninggal,Yanto is preparing a place for offerings to feed the spirits of deceased ancestors.,
ancar,,tarian,dance,n,ancar yaq cemnya yaq ewah tengempayatn koi?,tarian yang mana yang ingin kamu ikuti?,which dance would you like to join?,
ancatn,,pemikat hati,charmer,n,"kaheq hanyiq gangu lihaq joq, bihitn kenaq ancatn saq","enggak berani ganggu cowok itu, takut kepincut sama pemikat hatinya","don't dare to bother the guy, afraid of being smitten by the charmer of his heart",
aneh,,itu,that,pron,sion aneh saq tih jadin musuh latala,"karena hal itulah, ia dianggap sebagai musuh Tuhan","because of that, he was considered an enemy of God",
angaq,,tangan; jari,hand; fingers,n,rengutatn baq angaq moq was,urang utan memiliki tangan yang panjang sekali,orangutans have very long hands,
angaq,angaq patukng,tangan patung,hands of statue,n,,,,
angaq,angaq taoq,tangan kanan,right hand,n,angaq taoq ke jooq pelak,tangan kanannya itu patah.,his right arm was broken.,
angaq,angaq ulei; ulai,tangan kiri,left hand,n,perikng kuman dang angaq ulai.,tabu makan pakai tangan kiri.,It is taboo to eat with the left hand.,
angan,,tanda pengembalian suami atau istri,sign of husband or wife's return,n,akui kusiiq angan ji saq joq dilapm bobot antaakng sebulat!,saya masukkan jati dirinya ke dalam nilai uang empat ratus ribu rupiah!,i put his identity into the value of four hundred thousand rupiah!,
,,denda yang dikenakan kepada suami atau istri yang bercerai,fines imposed on a divorced husband or wife,n,,,,
angi,,tangisan,cry,n,leaah akui kehenekng genoh angi,bosan aku mendengarkan suara tangisan,I'm bored of listening to the sound of crying,
angkoh,,gaya,style,n,adiq kenangkoh agi ulutn yaq somong,Banyak macam gaya orang yang sombong,there are many different styles of arrogant people,
angkoh,,seperti,like,a,,,,
angootn,,panggilan anak-anak,nicknames for children,n,,,,
angur,mangur,muda (buah),unripe,a,uge mangur was nyoo neq,masih muda sekali kelapa ini,this coconut is still unripe,
anih,,di sana; itu,there,pron,anih saq di aruk calaaq,"dia di sana, di ujung jalan","he's there, at the end of the road",
aniit,,kulit,skin,n,aniit kokoq joq daii permaq entaa,kulit anjing itu semuanya hitam,the dog’s entire skin is black,
aniit,aniit kuhuukng,kulit kepala,scalp,n,aniit kuhuukng akui kataar lebii,kulit kepala ku gatal sekali,my scalp is really itchy,
aniit,aniit paaq,kulit paha,thigh skin,n,aniit paaq akui ganaan kenaq kerameeq meongk,kulit paha aku terluka terkena cakar kucing,My thigh skin was injured by a cat's claws,
aniit,aniit unuk,kulit badan,body skin,n,aniit unuk daii kenaq uleq buluuq,kulit badan semuanya terkena ulat bulu,My whole body skin got affected by caterpillars,
anta,,banyak,"many, much,lots of, a lot ",,anta agi kamp ngulih metuq yaq temeriwih joq?,Banyak juga ikan yang kalian dapat dari pancingan?,did you catch a lot of fish from your fishing rod?,
antaakng,,guci; guci besar,a big jar; a jar used as the nost valuable object in customary ceremonies/disputes.,n,ewah incapm antaakng koi nyaa kawaaq?,boleh pinjam guci besar kamu?,can I borrow your big jar?,
antakng,,akan; hendak,"will/shall, intend to, want to",adv,heq bii antaakng uhaq joq bi ewah meriwih,dia tidak akan mau pergi memancing,he won't go fishing,
antakng,antekng,akan,"will, shall",,,,,
antas,,sisir tenun,weaving beater / weaving comb,n,,,,
anteek,,sebab,"cause, reason",n,nyama anteek koi bi ulih temerutakng ?,apa sebabnya kamu sampai didenda?,what was the reason you were fined?,
anting,,anting,earring,n,anting kayooq tawaaq sesilaii,anting aku hilang sebelah,I lost one of my earrings,
antung,,tempat,"place, location, container",n,didinya antung dapeq tungkai remi ?,di mana tempat kalian tinggal?,where do you all live?,
anum,,air; sungai,water; river,n,cemnya lekng uhaq anum joq nyi,bagaimana rasa air itu tadi,how did that water taste?,
anum,anum apo,air kapur,lime water,n,anum apo kaheeq bajik temakai tenyimpaaq,Air kapur tidak baik dipakai untuk menyirih.,Lime water is not good to be used for betel chewing,
anum,anum celap ,air dingin,cold water,n,kenekng tih akui menu anum celap,siang ini saya mandi air dingin,This afternoon I bathed in cold water,
anum,anum gaka,air dari akar,"water from roots, root water",n,"calatn ji lamp talutn likut enteq anum, maka yaq lahatn lebi, kiteq gaka anum baq motos telahui muruq anum gaka kee!","Saat berjalan ke dalam hutan lupa membawa air, maka ketika sudah sangat haus, terlihat akar air lalu langsung dipotong dan diminum airnya dari akar itu","While walking into the forest, I forgot to bring water, so when I was very thirsty, I saw a water root, cut it, and drank the water from it",
anum,anum hajaq,air besar,flood / big water flow,n,anum hajaq bila tempo ucatn,air besar jika musim hujan,floodwaters during the rainy season,
anum,anum jutn,air terjun,waterfall,n,,,,
anum,anum kecren,kubangan lumpur,muddy puddle / mud wallow,n,baq anum kecren diq utuk dapeeq,ada kubangan lumpur di belakang rumah,There is a mud puddle behind the house,
anum,anum kekat ,air sungai yang kering,"a dried-up river, a dry rived",n,"ewah teluq ulatn ohai ucatn, iatn yaq temenu ogeq taii suah anum ke ewah kekaat!","mau tiga bulan enggak ada hujan, sungai yang sering kita mandi biasanya air sungainya mau kering!","if it doesn't rain for three months, the river where we often bathe will dry up!",
anum,anum lejaq,air jahe,"ginger water, ginger infusion",n,"muruuq anum lejaq joq, maii lekng unuq joq pajiq!","minum air jahe itu, biar rasa badan itu enakan!","Drink that ginger water, so your body will feel better!",
anum,anum nakat ,air sungai mulai naik,tide,n,anum nakat was kaheq ullih taai kekat meriwih,"Air sungai mulai naik, jadi kita tidak bisa pergi memancing","The tide is high, so we can’t go fishing",
anum,anum niiq,air kencing; air seni,urine,n,anum niiq ulutn yaq keheq sehat warnake kuning,Air seni orang yang tidak sehat berwarna kuning,The urine of an unhealthy person is yellow,
anum,anum nyengket,air pasang,high tide,n,,,,
anum,anum oheeq,air bilasan,rinse water,n,anum oheeq sooq mahong aduui temakai,"Air bilasan sudah kotor, jangan dipakai lagi","The rinse water is already dirty, don’t use it again",
anum,anum pasakng ,air pasang,high tide,n,,,,
anum,anum payaq,air comberan,sewage water / wastewater,n,anum payaq tih baoq botos,air comberan ini berbau busuk,This sewage water smells rotten,
anum,anum penu,air mandi,bath water,n,boteq koi nanak anum penu,Jangan kamu rebus air untuk mandi,Don’t boil bath water,
anum,anum perakng,air panas,hot water,n,lonya soq agi nabo anum perakng dan anum celap?,bagaimana sudah juga dicampurkan air panas dan air dingin?,how does it feel after mixing hot and cold water?,
anum,anum puruuq,air minum,drinking water,n,anum puruu tih eteeq uhuung anum,Air minum ini berasal dari mata air,This drinking water comes from a spring,
anum,anum sempuatn,air kubangan,puddle water,n,anum sempuatn mahong teaheq bajik temuruuq,Air kubangan tidak baik untuk diminum,Puddle water is not safe to drink,
anum,anum setubatn,air ketuban,amniotic fluid,n,"anum setubatn ke sooq pekaq senta natn ke sooq toto, tusuuq","Air ketubannya sudah pecah, tandanya ia sudah dekat melahirkan","Her amniotic fluid has broken, which means she is about to give birth",
anum,anum tanaaq,air tanah,groundwater,n,anum tanaaq ulih temakai non temenu atau non temuruuq,air tanah bisa dipakai untuk mandi atau diminum,groundwater can be used for bathing or drinking,
anum,anum tawa,air tawar,freshwater,n,metuuq tih belupm diq anum tawa,ikan ini hidup di air tawar,This fish lives in fresh water,
anum,anum tuhuur,air surut,low tide,n,"kawaaq taii meriwih, anum tuhuur tih soq!","bisa kita mancing, air sudah surut ini!","we can go fishing, the water has receded!",
anum,anum ucatn,air hujan,rainwater,n,anum ucatn tih niniing,air hujan ini jernih,this rainwater is clear,
anyan,,tempat (asal); tadahan; tempat tinggal; alamat,"place, location, container",n,didinya anyan taai kaat elau piko?,di mana tempat kita  mencari pakis?,Where is the place for us to gather ferns?,
anyan,anyam,tempatmu,"your place, your location, your container",n,Didinya anyaam kamp diamp ?,di mana tempat tinggalmu ?,Where do you live?,
anyan,anyaq,tempatku; wadahku,"my place, my container",n,Didinya anyaaq metuq yaq soq encaaq neq tungkai?,di mana tempat ikan yang sudah masak ini kakak?,"Where is the place for this cooked fish, sis/bro?",
anyan,anyan buuq,empang,fish pond,n,,,,
anyan,anyan diapm,alamat,address,n,anyatn diapm akui di sendawar,tempat tinggal aku di Sendawar,my address is in Sendawar,
anye,,ikut-ikutan,"just follow, just join",v,Akuq anye bneh ngancaar nee nyi.,Saya ikut-ikutan saja menari tadi.,I just joined in dancing earlier.,
anye,anye,mengikutsertakan,"to include, to engage, went along",v,akui anye bneh eraq kekaat neau ulutn main bola,saya ikut serta saja dengan mereka pergi nonton orang main bola,I just went along with them to watch people play football,
anyet,,tas rotan anyet,woven rattan bag,n,,,,
anyoor ,,pembuka selera,appetizer for the sick; food to stimulate appetite in a patient,n,,,,
aoop,,nasi dikuahi (air),"soupy rice, rice with broth",n,Akuq kumaan dang aoop bneh,Saya hanya makan nasi dikuahi air,I only eat rice in water broth,
apaak,,lembar; besarnya atau luasnya,"sheet, leaf; its size or area, its extent",n,adi agi apaak sent uhaq joq yaq temincaaq dang taii nyii !,berapa besaran uang dia kasih lihat ke kita barusan !,that was a huge amount of money he just showed us,
apaakng ,,arah tujuan,"direction, destimation",n,apaakng yaq inya tengelibas taii kekat meriiwih,tujuan mana yang kita lalui kita  untuk pergi mancing,which directions are we taking to go fishing?,
apaar,,titian,footbridge,n,,"Kamu tadi lewat titian, apa tidak terendam air?","when you crossed the small bridge earlier, wasn’t it flooded",
apakng,,cabang dahan atau ranting,branch of a tree,n,sidaq agi koi nenoq apakng joq non notoor puhutn taii tih!,coba kamu ambil ranting itu untuk menyalakan api kita!,Please take that branch of tree to help light our fire,
apan,,atau,or,p,koi ewah beroheq apan nyapu natar?,kamu mau mencuci piring atau menyapu halaman?,do you want to wash the dishes or sweep the yard?,
ape,,sebutan nama perempuan (kasta),female caste title,n,,,,
apeek,,bet; papan raket,bet; racket head,n,eraq lagiq dacukng sameer nengkat apeek langau,mereka sedang duduk sambil memegang papan raket,sitting while holding a bat,
apeh,,"terjepit, terhimpit","trapped, pinched, caught in between",v,akui apeh utuup oto,aku terjepit penutup mobil,I was trapped by the car cover,
apek; utuup kiaang,,tutup panggur; tutup anjat,panggur cover/lid of a panggur; anjat cover/lid of an anjat (woven rattan backpack).,n,lagiq bahatn apeek kiaang eteq gai,sedang membuat penutup panggur yang terbuat dari rotan,currently making a bamboo cover made of rattan,
apeq,,pembalut wanita,"sanitary napkin, women's pad",n,,,,
apik,,lapik; alas,"pad, nat; lining, underlay",n,akui tiro pakai apik empatn jaliiq,aku tidur menggunakan alas tikar rotan,I sleep on a rattan mat,
apik,baqapik,berlapik,layered,v,kamiq dacukng baqapik kardus,kami duduk beralas kardus,we sat on cardboard,
apik celaq,,nyaru; tepung tawar,a request or plea accompanied by a plate and bowl containing plain flour to start a ritual,n,nengaq apik celaq non anyatn mencarakng di ruratn adat,membuat permintaan sebelum berbicara di ritual adat,a request or supplication accompanied by a plate and a bowl filled with tepung tawar to begin a ritual,
apo,,kapur; kapur sirih,whitting,n,ewah nyimpaaq ohai baq apo,"ingin menyirih, tetapi tidak ada kapur sirih","I want to chew betel, but there’s no slaked lime",
apo,apo tulis,kapur tulis,chalk,n,,,,
april,,bulan ke-4 tarikh Masehi (30 hari),4th month of AD (30 days),n,encuun kamin lahir diq ulatn April,cucu kami lahir di bulan April,our grandson was born in April,
apui,,api,fire,n,hajaq was tonook apui koi,besar sekali api yang kamu buat,that’s a huge fire you’ve made,
apui,apui hajaq,api besar,big/great fire,n,apui hajaq yaq nutukng taluutn kaheeq ulih temarapm dang anum seember,api besar yang membakar hutan tidak dapat dipadamkan dengan air seember ,A great fire that burns the forest cannot be extinguished with a bucket of water,
apui,apui puhutn,api unggun,bonfire,n,Kabatn tuhiq acukng kelilikng apui puhutn,Anak-anak duduk keliling api unggun,The children sat around the bonfire,
apui,beapui,memakai api,to use fire,v,,,,
arab,,nama bangsa di Jazirah Arab dan Timur Tengah,names of nations in the Arabian Peninsula and the Middle East,n,Gama selapm tenemen oleh ulutn Arab,agama Islam dibawa oleh orang Arab,Islam was brought by Arabians,
areep,,rautan kayu kering,dry wood shavings,n, nengaaq areep non kelupm apuii,Sedang membuat rautan kayu kering untuk menyalakan api,Making shavings of dry wood to start a fire,
areq,,memberi,give,v,Dera areq hadiah ulang tahun ja penganaa ke.,dera memberi hadiah ulang tahun kepada keponakannya.,Dera gave a birthday present to her nephew.,
areq,aretn,pemberianmu,your gift,n,akui terimaq barang aretn koi ,aku terima barang pemberianmu,I received the gift you gave me,
aroh,,simpanan,"savings, deposits; storage, reserve, supply",n,nyaa koi uge baq aroh gulaaq bero waha,apakah kamu masih ada simpanan gula dan beras,Do you still have a supply of sugar and rice?,
arookng,,tahi lalat,nole,n,nyama yaq diq ubuh kemp togaq bih adiq lebi arookng?,mengapa di badanmu banyak sekali tahi lalat?,Why do you have so many moles on your body?,
arookng parai,,gabah hampa; bulir padi hitam,black grains on a rice panicle,n,paraai tih adiq was arookng,padi ini memiliki banyak biji yang berwarna hitam,this rice has many black grains,
aruk,,ujung; puncak (pohon),"end, tip, edge; tree top",n,di aruk alaq uhaaq nuguq koi,di ujung jalan dia menunggu kamu,He/She is waiting for you at the end of the road,
aruk,aruk,puncak (pohon),tree top,n,adui ngawekng kajuq sukat mpeq aruk,jangan memanjat pohon sampai ke ujung ,don’t climb the tree all the way to the top,
aruk,aruk celaaq,ujung lidah,tip of the tongue,n,baq letuur diq aruk celaaq,ada sariawan di ujung lidah,there is a cankersore on the tip of the tongue,
aruk,aruk gerigiq,ujung jari (tangan),fingertips,n,aruk gerigiq tuhi aneh suriikng,ujung jari tangan anak itu lentik,the child's fingertips are tapered,
aruk,aruk gerigiq uneekng,ujung jari kaki,toe,n,baq arookng diq aruk gerigiiq unekng,ada tahi lalat di ujung jari kaki,there is a mole on the tip of the toe,
aruk,aruk kajuq,ujung pohon,"tip of the tree, top of the tree",n,adui kat je aruk kajuq,jangan naik ke ujung pohon,don't climb to the top of the tree,
arupm,,bayam duri; Amaranthus spinosus,a type of amaranth with yellow flowers,n,akui ewah molaq bunga arupm,aku mau tanam bunga arump,I’m going to plant arump flowers,
asaaq,,dedaunan kering,dry leaves,n,,,,
asaaq/layar,,daun kering yang jatuh,fallen dry leaves,n,ewah nutukng asaaq aleq!,aku mau bakar daun kering dulu,I want to burn the dry leaves first,
asakng,,hati; napas; nyawa,heart; liver; breath; soul,n,"asakng uge ewah, tapi mangan pareq","hati masih mau, tapi malu memberi tahu","my heart still wants it, but I’m too shy to say",
asakng,asakng buruk,pernyataan orang lupa ,a statememt made by a forgetful person,n,asakng buruk likut nengaq namiit didapeq ,sampai hati lupa membuat nasi di rumah,how could you forget to cook rice at home?,
asakng,asakng mahah,sekarat,dying,n,aap ngua oyoq yaq lagiq asakng mahah,aku jenguk teman yang lagi sakit/sekarat,I visited my friend who is dying,
asakng,asakng pejai,sakit hati,heartbroken,a,asakng pejai tenematn koi,Saya merasa sakit hati ditinggalkan olehmu,I feel heartbroken that you left,
asakng,asakng sengaat,tanda belas kasih,a sign of compassion; an expression of kindness,n,biaar kemigaq berai lekatn uge baq asakng sengaat,"meski kami berdua berpisah, tetap tersisa tanda belas kasih","even though we are apart, there is still a sign of compassion",
asar,,asal; asal-asalan,"careless, sloppy, haphazard",a,nengaaq kajuq ngatn asar selukng mahah,"mengerjakan sesuatu dengan seadanya, yang penting selesai","doing a task carelessly, as long as it gets done",
asar,asar mencarang,ngawur,babble,v,coba koi adui asar mencarang,coba kamu jangan asal berbicara,Try not to babble carelessly,
asar,asar usur,awal mula,the origin of the event,n,sidaq koi bekesah asar usur lugaq ulih bero!,"Coba ceritakan, bagaimana awalnya mereka bisa bersama",could you tell the story of how they first became a couple?,
aseek ,,pasak,"peg, stake",n,bahatn aseek keratukng,membuat pasak gendang,crafting pegs for the drum,
aser,,usul,suggestion,n,,,,
atai,,hati,heart,n,atai manuk nyaman melebi,hati ayam rasanya sangat enak,chicken liver tastes very good,
ataaq,,antah,bran,n,adiq lebii ataaq dilamp wahaa tih!,banyak betul antah di dalam padi ini!,There are so many bran in these rice grains,
atat apui,,jelaga; sulang,"soot, black smoke",n,boteq ngekeu apui bihitn adiq was atat,"Jangan kipas apinya, nanti banyak jelaganya","don’t fan the fire, or there will be a lot of soot",
atau,,sebutan nama laki-laki (kasta),male names (caste),n,,,,
atih,,nanti,"later, near future",adv,tanaaq yaq baq tih non warisan eraq anak encuuq tai atih,tanah yang ada ini untuk warisan anak cucu kita nanti,This existing land is for our future children and grandchildren to inherit,
atih,,akan,will,aux,,,,
atookng,,penumbuk tiang rumah,house pillar pounder,n,"ewah molaaq tempoor dapeq, nyenaaq pakai atookng",akan menanam tiang dasar rumah dengan menumbuknya menggunakan penumbuk tiang,"preparing to plant the house’s pillar posts, pounding them with a post mallet",
atoos,,sering,"often, frequent",adv,polaq jooq diraaq atoos tenara jongkaaq gagaaq murak,tanaman harus sering dibersihkan agar cepat pertumbuhannya,The plants must be cleaned frequently so that their growth will be faster.,
aur,,sibuk,busy,a,ap neau koi aur was di sereek eraq tungkapm di sendawar,aku melihat kamu sibuk sekali di acara  kakak di sendawar,I saw that you were very busy at older sister's event in Sendawar,
awat,,tolong/menolong; membantu,help,v,taai awat lihaq neq nyi tatui di calaq,mereka menolong lelaki yang jatuh di jalan,they helped a man who fell on the street.”,
awai racutn,,penawar racun,antidote,n,aap elau awai racutn noon anyatn muat kokoq kenaaq racutn,Saya mencari penawar racun untuk menyembuhkan anjing yang telah keracunan,I’m looking for an antidote to treat a dog that has been poisoned,
awas,,sangat,"very, highly",adv,,,,
ayaaq,,ubi jalar,"yam, sweet potato",n,seseleeh was kumatn ayaaq yaq tengerehatn,sangat enak memakan ubi jalar yang digoreng,It’s so tasty to eat fried sweet potatoes,
ayapm,,tenggiling; Manis javanica,pangolin; Manis javanica,n,didinya koi ulih ayapm ?,di mana kamu mendapatkan tenggiling ?,where do you get pangolins?,
ayaq,,punai,green pigeon,n,pore lebi genoh ayaq,suara burung punai terdengar sangat merdu,the sound of the punai bird is very beautiful,
ayatn,,anai-anai; rayap,termites,n,adiq lebii ayatn dilapm brokeeq,banyak sekali anai-anai di dalam sarang anai-anai,There are so many termites inside the termite nest,
ayu,,ipar,in-law,n,akui dang ayu kekaat ji pasar samaq-samaq meliq metuq,saya bersama ipar pergi ke pasar untuk membeli ikan,I went to the market with my in-law to purchase fish together,
ayuuq ayo,,tidak enak badan,unwell,a,lekng unuq akui tih dakaq ayuuq ayo ogeq,tubuh saya sedang merasa tidak nyaman,my body doesn’t feel unwell right now,
